file_name,caption_1,caption_2,caption_3,caption_4,caption_5
bottle filling up.wav,Constant water sound flowing from a faucet into a sink.,"Someone fills a jug up with water and shuts the faucet, then a sink drains water.",Water flows into a container that slowly begins to fill up.,Water is flowing from a faucet into a sink and the sound stays constant.,someone is filling up the water bottle and then closes the lid
radio-waves-surround-sound-front.wav,A radio is being changed between multiple stations without settling on one.,A radio tuner being switched through static and radio stations.,A radio tuner is being moved through static and different radio stations.,Someone adjusting the radio and getting a mix of signals.,Someone is adjusting the radio and getting a mix of signals.
bridge demolition pounding.wav,A machine has material on it and is being pressed down very hard.,A machine that is pressing down very hard on material.,A pile driver repeatedly struck a piling and drove it into the ground,Metal objects rubbing against each other are clanking and creaking.,a pile driver repeatedly striking a piling as it drives it into the ground
Brooklyn Residential Street.wav,A bus lowers it front end for passengers to exit and board while people talk and a vehicle drives by.,"As people in the station chatter, a bus is driving away from a station.","As people talk and a vehicle travels by, the bus lowers its front end.",People are conversing next to a busy road with vehicles passing by.,Several people talking outside next to a street with vehicles driving by.
brownnoise.wav,A breeze moving by and a static overtone of wind and other.,A static overtone from wind and something else is audible as a breeze moves by.,Rain is pouring down outside as heavy traffic is moving in the distance.,The wind blows loudly in gusts amid white noise.,White noise on top of high wind gusts.
rain in pipes.wav,Oil sizzles in a frying pan and a cup is set down on counter.,The object had been rinsed thoroughly with soap and water.,Water falling from a shower head in a bathroom,"Water flows steadily, and hits against an object.",Water is flowing and hitting into something at a steady pace.
bugs buzzing loud.wav,A cricket is chirping and increases in volume not stopping.,A cricket is chirping and increases in volume without stopping.,A cricket sound with a high pitch that is constant.,A cricket sound with a high pitch is constantly chirping.,The night bugs are all making sweet music communicating with each other.
High pitched drilling.wav,A drill powers up and drills through something loudly.,A small electric drill is used to push through thin material.,"A whining saw is started and stops several times, chugging sporadically and never gaining full power.",Someone is using an electric drill for more than one screw.,The electric powered drill pulsates about fourteen times.
Bus driving.wav,A car driving down a bumpy road at a steady pace.,A car is driving down a bumpy road and keeping a steady pace.,An off road jeep is driving up a dirt path carrying heavy cargo.,A vehicle carries cargo down a dirt road.,The low hum of a vehicle revs up and down nearby.
GarbageTruck.wav,A big truck beeping while going in reverse.,A big truck is beeping while going in reverse.,A large truck is beeping while backing up and the breaks are squealing as well.,A large truck is beeping while it reverses and the brakes are squealing as well.,A whir of an engine approaching and a large vehicle pulling away.
weekend03.wav,A loud bumping around followed by a crumpling sound.,"A person doing carpentry, followed by someone opening a wrapper.","An object moves and scratches the floor, then knocks twice.",Someone is doing some building work with wood and ripping some wrapping off.,a loud sound bumping around and crumbling sound at the end.
coffee can.wav,A can opener is being used to open a can and the lid is then removed.,Someone moving a pot and chewing loudly on their crunchy cereal.,Someone is munching something loudly after it is opened and taken out.,The person uses a can opener to open and remove the lid from a can.,Something is being opened and taken out and then someone chews it with loud noises.
buzzy static.wav,A steady and high pitched mechanical sound fades into white noise accompanied by muffled voices,Electronic interference on major sound and audio equipment caused deliberately.,Loud radio static fills the air before channels are switched.,Loud radio static that vibrates followed by static channel switching.,The loud static is coming from the electronic device.
Typing on a typewriter with ding at end of each line.wav,"A person types on a typewriter, pulls it back, and types again.","Continuous typing on a typewriter, it gets pulled back then they typing starts again.",Some variety of typewriter is used by a person to type a document.,"The typewriter clacks along, slowly and quickly and when the bell rings the carriage is moved to the next line.",Typewriter keys rhythmically hitting the paper before the bell rings and the carriage is returned to start the next line.
church-eglise #1.wav,A strong wind howls while people chatter in the background,"As the person is speaking, people are talking.",People are in a gym with girls talking in the background.,people are talking as some announcements are made,wind buffering with banging sounds with background people talking
California morning birds singing.wav,A lot of birds are chirping loudly along with each other.,Birds are loudly and continuously chirping outside together.,Birds are loudly chirping together while outside continuously.,"For the entire time, multiple birds chirp in the background.",While other nature sounds abound birds chirp continuously.
cambridge_train_station_02_shelter_water_2005.wav,Liquid dripping and people talking in the background.,Liquid is dripping and people are talking in the background.,Men are speaking while an electrical current produces static.,Something ticks while water drops from a faucet.,"Water drops dripping, falling at different paces, one very fast and the other slower, then the water drops stop."
djf_burps.wav,A child burps five times and another child laughs.,A child burps five times while another child laughs.,A child is burping repeatedly while another child laughs nearby.,"The child burps twice, coughs, burps again, then giggles.",Two burps a cough followed by two burps a cough followed by burps then a child is laughing.
PS3F_FOZ_centro_RuaNaipi_Noite.wav,A canine woofs at an approaching automobile while a young boy talks.,"A dog is yelping while a car is passing, a person is singing: in succession, another car is travelling by.","A dog yelps, a car passes by, a person sings, and then another car passes by.","A dog yelps, several vehicle engines roar by, and a woman speaks while faint footsteps echo in the background.","A dog yelps, several vehicle engines roar by, and a woman speaks while faint footsteps hit the ground."
Nightingale.wav,A number of birds are chirping as the video goes on.,A number of birds are chirping while the video goes on.,"Birds are singing, making short, quick chirps and tweets continuously.","Birds of many different kinds are flocking together, chirping and singing.",Different species of birds are chirping and singing in close proximity to each other.
Canarian_Bird_In_Cage_Singing_2.wav,A bird is whistling and it speeds up and slows down its voice.,A bird is whistling and it speeds up and slows down the song.,"A bird trills, chirps and then the bird beeps.","A bird trills, chirps and then the bird cheeps.",A small bird with a chirp that has a higher pitch
Lincoln Nebraska Tornado 5 9 2016.wav,A plastic pipe is being turned at high speed creating whistling and humming noises.,A plastic pipe turns and creates loud noises.,"Low, natural music proceeds steadily, escalates slightly with a whistle, then continues steadily.",Music plays in a low volume before escalating and leveling out.,Someone is spinning a hollow tube causing the rushing air to gurgle and resemble sound from science fiction.
Some Sort of Engine 1.wav,A long steady vibration is made by a motor,"A motor is making a long, steady vibration.",A person operating a jackhammer creating a loud disturbance.,Someone is operating a jackhammer and it is noisy.,Spinning blades are chopping through the air very fast.
Stoney_StormyC_Nov12.wav,A jet sound roars continuously and then gets a bit louder.,Cars driving by on a wet road way after a storm has calmed down.,Cars driving by on a wet road way after a storm.,Ocean waves are crashing loudly onto a beach.,The wind is blowing strongly and pushes with several gusts.
Car wash.wav,A train runs over tracks as the air in the cabin is pressurized.,An airplane is flying in the sky at a constant speed.,An airplane soars high in the sky at a steady pace.,The wind is blowing over a large open space and occasionally water splashes.,"Wind blows over a large, open space as water splashes occasionally."
maskingtape.wav,A radio produces a white noise and malfunctions as a voice tries to communicate.,A balloon being rubbed against others and against something else creating a loud squeaking noise.,Electrical interference static being broadcast through a radio speaker.,Electrical interference static broadcast through a radio speaker.,"When a balloon is rubbed against something, it creates a loud squeaking noise."
Car_Keys.wav,A clank of chains winding towards the ground to be collected at the bottom.,Someone is dragging a chain around on a table.,Someone is rattling the metal discs in a chain so that they clink.,Someone is rattling metal discs joined together in a chain so they clink.,Someone is dragging a metallic object across a table.
Radio annoyance.wav,A lot of static followed by a song playing during slightly less static.,"A lot of static occurs, and then a song plays with slightly less static.",An old fashioned record player is skipping and then it begins to play a woman singing.,An old fashioned record player skipping then begins to play a woman singing.,Someone changing through stations full of static on a radio.
Cardiff Bay fireworks.wav,Fireworks go off continuously as kids talk and shout in the background.,Fireworks was exploding in the sky and the crowd was cheering,"Fireworks were exploding in the sky, and the crowd was cheering.",People comment on the fireworks shooting and exploding in the sky,"While a person is shouting, some fireworks are going off."
Cardinal Key West.wav,A bird is calling and chirping twice using a repeating pattern.,A bird is singing and then takes a quick break before singing again.,"A bird sings, then it rests for a moment before continuing to chirp.","On a clear day, a bird chirps at a high pitch.","The bird calls, chirps twice, then begins the pattern once again."
cartwheel suitcase plastic wheels rolling on tiled pavement floor plock tock with ambient outdoors.wav,A person dragging a suitcase along a hard surface.,Some horse buckle in a road of some steps.,Various hard objects are slapping against each other and people are conversing in the background.,Wheeled bag being pulled over the breaks in a walkway,Wheeled suitcase being pulled over the cracks in a sidewalk
"Fly fishing - winding in reel fast, slow.wav","A a wind up is wound faster, then slower.",A fishing line being pulled in and then some give and then pulling it,A machine is being tuned up and adjusted using a ratchet.,Someone with a fishing pole reeling something in.,a fishing line being pulled or rolled in and then some give and then pulling it
Matches.wav,"A match is removed from packaging, lit, the fire burns for a moment and fades, then this all repeats.",A person is sorting through and opening up mail.,A match is scraped on a match box and lit multiple times.,"A match being scraped against a matchbox, and eventually lighting, multiple times.","match taken from package, struck, fire burns, dies, then the entire process repeated a couple of times."
cat eating cat food.wav,A person dumps a container of small objects and then pulls at the sides,A person dumps some small objects out of a container and then pulls at the sides.,"A plastic bug scrunches, and then a person snaps their fingers a few times.","Dried beans are poured onto a tabletop, then crushed a few at a time.",The crunching of small objects in a very quiet room.
sw_RainWithCrickets_20100917.wav,A fan is running quietly as the rain falls steadily in the background.,Fan motor running with rain in the background.,Heavy rain hits the ground during a storm.,It is raining cats and dogs during a storm.,It is raining loudly as cars are driving by.
CFX-20130331-UK-DorsetSeaCliff03.wav,A bird is singing while a man speaks and ocean waves roll by.,A man is talking while the waves crashing to the shores and seagulls chirping in the background.,"A man is talking, then seagulls begin squawking in the background and waves are crashing on the beach.","A man is talking, with seagulls squawking and waves crashing on the beach behind him.","a man is speaking, ocean waves are rolling, a bird is singing"
Industrial Heating Vent.wav,A machine is running and increasing in speed but then slowing down.,"A machine is running and increasing in speed, then slowing down.",A waterfall getting louder as it is being approached by someone.,An industrial fan running inside of a garage.,The train clattered along the tracks screeching and whistling.
chainsaw and little tree.wav,A chainsaw is cranked and then cuts through something.,A chainsaw is started and emits a steady whine before it is used to cut something.,A person starts a chain saw and the person revs it and then presses on the gas.,She started the chainsaw and then throttled the engine to make it roar to life.,"The person started the chain saw first, then revved it continuously. "
Cheer.wav,A crowd cheers and claps excitedly all at once.,"A crowd of people of clapping, men cheering, women cheering, continued clapping slowly stopping","A crowd of people, including men and women, were clapping and cheering until it slowly stop.","Cheering, whooping, hollering and applause which gradually diminishes to a halt.","The cheering, whooping, yelling, and clapping gradually diminish to a halt."
Chickadees Singing.wav,"A slew of ducks quack and, in the background, more birds chirp.",A slew of ducks quacking and birds chirping in the background.,Adult ducks are quacking and baby ducks are chirping.,Adult ducks are quacking while the baby ducks are chirping.,Several ducks are quacking and a very high pitched bird chips over them.
chicken_freesound.wav,A chicken is clucking and flapping its wings,A chicken is clucking and flapping its wings loudly.,A chicken is clucking while flapping its wings loudly.,A chicken is flapping its wings as it clucks.,"In different pitches, chickens cluck at each other repetitively."
childrenoh.wav,A crowd of laughing and cheering people are.,A crowd of people is laughing and cheering.,A large number of people shout cheerfully in unison.,People are cheering and celebrating a clearly happy occasion.,People cheer and celebrate a clearly happy occasion.
md10trk5.wav,A microwave is turned on and then turns off with several beeps.,A piece of machinery operating followed by a timer going off and the machine stopping.,"Fan running then turned off, watch alarm beeping, background oscillation stopping.",The fan was running then the alarm rang and it stopped.,a machine is running before being turned off beeps every few seconds.
"Chinese Restaurant Atmo, Germany, Subtle.wav",Dishes are being clanged and scraped together and children are talking.,Dishes are clanging whiles plates are scraping and children are talking.,Several people are in a restaurant chatting with dishes clanging in the background.,Several people in a restaurant chatting with dishes clanging in the background.,Some plates and dishes are clanking and a lot of inaudible speech is being said.
wood desk Open and close.wav,A machine is sorting or breaking up cards or thick card stock made of paper.,A machine sorts out or groups cards or a thick card stock made of paper.,A rhythmic sliding with a thud every time one end is met.,Rhythmic sliding with a thud every time one end is met.,someone is chopping wood for the fire outside very slowly
Chris&#39; Elevator.wav,A closet door slides open then a chair rolls across the floor.,A freight elevator being loaded and going up the shift and stopping at a floor.,A freight elevator was loaded and went up the shaft to stop at a floor above.,A person opens a large closet and moves items around.,A steel door opens and then is pushed back on a bar with roller wheels.
Chris&#39; window noise.wav,A howling wind blows harshly as pieces of ice slam into a hard surface.,A strong gust blows several metal objects into clinking against each other.,The wind blowing through a porch and blowing a can around.,The wind blows on the porch and a can is blowing in the wind.,The wind howls through the window as the hail falls on the roof.
Skate pass on road 4.wav,A person is riding a skateboard on the pavement.,A skateboard clatters and vibrates as it gathers speed across concrete and stops.,A skateboard moves over pavement increasing and decreasing in speed.,Going slower and faster a skateboard glides over the pavement.,Someone is rolling down the sidewalk on a skateboard.
Chuck-will&#39;s-widow.wav,A bird singing cheerfully with a mild echo.,Welcoming and mild echo is occurring while a bird is singing cheerfully.,"In a confined space, a bird is singing and chirping.",It is a bird chirping sounds in the background.,It sounds to me like a bird chirping.
distant cars.wav,"Crickets chirp in the background, and cars drive down the road.",Crickets chirping with vehicles running in the background outside and some light bird chirping at the end.,People are travelling at dusk with crickets chirping in the back round.,Someone is driving at night with the windows down while bugs are chirping.,crickets in the background and cars travelling down the road.
Cigarette_roll_pack.wav,A fireplace that is being cleaned out by someone.,"A person scrapes a surface, then the person bangs the scraper on an edge of the surface.",A wooden object is tapped on a ceramic bowl.,"A person scrapes a surface, then bangs the scraper on an edge.",Wood is rapped across the surface of a ceramic bowl
DePanne.wav,"As waves crash in all along the coast, blustery winds cause interference.",Heavy rain pouring down while the wind howls in the background.,"Rain falls steadily, and a heavy wind blows.",Waves are crashing in along the coast as blustery winds cause interference.,Wind blows heavily and rain falls at a steady rate.
Marina Ambient.wav,"A bird chirps a few times, while cars drive in the distance.",An airplane is passing by overhead and birds are chirping near a waterway.,An airplane passing by overhead and birds chirping near a waterway.,Cars are driving in the distance and a bird chirps a few times.,It is storming out and a lonely seagull calls out.
window_cleaning.wav,A couple of persons are playing on adjacent sides of a window using their fingers to make sounds.,A person cleans a window until it squeaks and another person plays a musical horn several times,A person is wiping down a window and it squeaks and someone blows a musical horn a few times.,"Two people are playing on either side of a glass pane, making noises with their fingers.",cleaning a house or car glass windows squeaking
coffe_machine.wav,"A vending machine is brewing, preparing and pouring out a drink for the customer.",An axe is chopping wood and in the background a saw buzzes.,Someone is vacuuming the floor and picking up some larger pieces of something.,"The vending machine brews, prepares and pours the drink of the customer.",someone making coffee or a similar drink with a piece of kitchen equipment
Fireworks-close-01nov2014.wav,Fireworks are lit and launched up into the sky and exploding.,Fireworks being lit and fired up in the sky and exploding.,Fireworks shoot off and then pop a little later.,Tape is stretched and then the taped up boxes are taken away,The fireworks shoot off and then pop a little later.
coffeeMachine_makingCoffe.wav,A blender is being operated at different speeds.,A machine drill begins to run and then the machine begins to hum.,At different speeds a blender is being operated.,The compressor turns on and off after an electric drill is used.,"The engine in an electric screwdriver begins to run, stops, and then slowly starts up again."
Pencil Scratch 2.wav,A pencil scratches rhythmically against a page of paper.,A person drawing on a piece of paper.,Someone is drawing and coloring the drawing with a pencil,Someone is drawing and coloring the drawing with pencils.,Someone is using chalk to write on a chalkboard.
ComeAndGo-metro-BCN.wav,A machine with a conveyor belt or traffic passing by in the distance.,An electric tram moving away from one station accelerating then slowing for the next stop,"People talk in the subway station, as trains speed by.",The electric tram drives away from the current station then slows down for its next stop.,Train moving through a tunnel at varying speeds.
froggies.wav,A large group of frogs are croaking with each other.,A lot of frogs are croaking and singing loudly.,Crickets and frogs crowing at night to make the night sounds.,Several frogs are croaking and katydids join in.,a lot of frogs are croaking together loudly
Construction 1.wav,A beep indicates a truck in backing up.,A motor runs outdoors on a windy day.,"A truck is moving in reverse with its backup alarm is beeping, then it switches to drive.",A vehicle revving up while it is backing up.,Construction sounds in the background along with the back up alarm of a truck.
MicroscopeSlides.wav,A file is scraping against another hard object in an irregular way.,A knife is used by a person carving some wood.,A piece of wood that is being carved out.,Someone is using chalk and a straight edge to do some work on concrete.,Someone carves a piece of wood with a knife.
construction site 1.wav,A machine is running fast and some people are talking along in it.,A moving bus has its passengers talking in the background and then a horn blared from afar,People are in a restaurant moving dishes and speaking when a machine runs.,People in a restaurant are rattling crockery and cutlery before a restaurant device whirs into operation.,"The passengers in the moving bus talked in the background, and then a horn blared from afar."
Maas 02 100215.wav,Noise from a highway is in the distance while splashing water is nearby.,Splashing in nearby water and a highway in the far distance.,The motor swishes the wet was of the washing machine.,Traffic roars by while waves gently lap at an obstacle in their way.,Waves gently lap at an obstacle in their way as traffic roars by.
Noisy Old Elevator.wav,A door slowly closed and dropped to the lock which bumped together,An engine is started and then someone opens a heavy door and steps outside before closing it again.,An engine is whirring and then someone opens a heavy door and steps outside before closing it again,Someone is rolling a cart and running a food counter while someone else runs up the stairs.,When the door slowly closed the lock dropped together with a thud.
Cookie pan hit.wav,A golf ball collides with a metal plate thirteen times.,A hard object is striking another hollow metal object in an irregular fashion.,A hard object strikes a hollow metal object irregularly.,A loud bang of a metal material occurs many times.,A loud banging of a metal material occurs several times.
Generator.wav,A chain is being pulled from a reel and patted and pulled once again.,A chain was being dragged on a hard surface.,"On a hard surface, some heavy objects are being moved, shifted and rearranged.",Paper is pulled and wrapped around an object while a staple is used.,a chain being dragged on a hard surface
Hospital corridor.wav,A person in a kitchen is talking and making dough,A person is making some dough in a kitchen and talking,Hard objects are scraping and banging against each other and people are talking close by.,People are talking near where hard objects are scraping and then banging against each other.,Various items are being placed in bags as a woman speaks to another woman.
cooking_02.wav,Running water is used to sluice something metallic.,The metallic object was rinsed under the running water.,The water loudly gurgled with the clanking of pots and pans.,Water is running over all the metal utensils while they are being cleaned.,Water was running over metal utensils while they were being washed
Kitchen Noise From Distance.wav,Dishes being gathered together for some kind of use.,Someone putting dishes away in the kitchen cabinet.,The dishes are being put away in the kitchen.,The eating utensil is set down before the next place is arranged at the table.,"Within a nearby room, silverware is being fumbled."
countdownandcheer_01.wav,"A group of people are chanting, at the end there is percussion noises and cheering.",A group of people chant clapping along till the end where the let out screams.,A large group of people chanting with cheers at the end and accompanying percussion.,Many different voices are chanting and then celebrating.,Several people chanting then cheering in celebration with people also cheering in the background.
countdownandcheer_02.wav,"A group of people chant, then set off fireworks.","A group of people chant, then shoot fireworks.",A group of people chanting and then setting off fireworks.,"after chanting for ten seconds, a group of revelers set off their fireworks.",sound of many people chanting until the ignition of a fireworks display.
Light Rain on Windscreen.wav,A light rain was falling on a plastic sheet,Plastic sheeting was being hit with light rain.,Rain patters on the outside of a tin roof.,Water heavily drips onto a percussive plastic container,Water is heavily dripping onto a percussive plastic container
Crane ship unloading sand 1.wav,Bangs and buzzes proceed from working machinery in the background.,Someone is operating a large machine inside the room.,Someone operating a large machine in an enclosed room.,"While making locking and then unlocking noises, a mechanized gate swings from open to closed, going back and forth.",machinery sounds with a constant buzzing and banging background noise
Howling Storm.wav,A high pitched whistle is emitted from a machine.,A windstorm that is so strong that it is whistling.,Rushing wind picking up in speed as is starts to make a whistling sound.,The rushing wind starts to whistle as it picks up speed,The wind of a strong storm whistles as it blows
Oven Door.wav,A garage door is lifted and then quickly closed.,A garage door is quickly closed after being lifted.,A large door has a huge metal spring that stretches as the door is opened and closed.,A large door with huge metal spring that is stretched when opening.,A metal gate that is rusty being opened slowly.
SnappingBamboo.wav,A hard boiled egg is cracked then rolled to cause it to crack completely.,A person holding and breaking apart pieces of wood.,A person playing with an empty candy wrapper,A person plays with an empty candy wrapper,"To start a fire, a person is shaving wood."
Creek 115.wav,The water burbles as the stream goes downstream.,Water flowing in a stream as rain is falling.,Water is gently flowing in a small river.,Water is loudly flowing in a natural stream of water.,Water loudly flowing in a natural stream of water.
creeky chair.wav,A creaky wooden door is slowly opened and then closed by a person .,A person slowly opening and then closing a creaky wooden door.,An old wooden floorboard creaking and moaning under the weight of someone.,One hard object being dragged and scrapped against another hard wooden object.,The old wooden floor is creaking as someone is walking or standing over it.
Crepe Making.wav,A fire crackles as bugs chirp in the wilderness,A fire in a fire pit is burning and a door opens.,A fire is burning in a fire pit then a door opens.,Water began to flow onto the bag and a container was sealed,Water started to flow on a plastic bag and a container was closed
Crickets and dogs barking at night in a residential district of Tucson. City and cars in the far background.wav,"Crickets chirp and dogs bark, while cars drive past.",Crickets chirp and then a dog barks off in the distance.,Crickets chirp nearby as the wind howls loudly.,"Dogs bark, one dog increasing in volume, surrounded by insects at night.",Insects at night while dogs bark and the bark of one dog becomes louder.
crickets and owls.wav,"An insect buzzes in the foreground, with a shrieking bird in the background.",Buzzing insect with a shrieking bird in the background.,Insect wings whir and pause in the background as a bird screeches and a dog barks.,Multiple insect wings alternately whir and pause in the background as a bird screeches and a dog barks.,in the forest with a little bit of rain and a bird talking and a wolf howling.
Crow noise.wav,A crow can be heard loudly and then it seems a person is imitating the sound.,A crow crows loudly as a person is heard imitating the sound.,Someone is pretending to be a hawk by making hawk noises.,Repeating of a grunting sound is done several times by a person.,a man making a sound twice loudly then one low sound.
Hail and Rain in the Courtyard.wav,A person is in the shower with the water running.,Being under a building while it is raining outside,Rain patters down rhythmically as thunder crashes from a distance.,Someone stands under a building while it is raining outside.,Stormy weather occurs over a cement stairwell and walkway.
transmission.wav,A couple of guys were talking when one of their cell phones started ringing.,Guys are talking and a cell phone rings.,Some people are talking beside a road while cars drive by.,Some people were talking beside the road with moving cars,Various people are talking while traffic passes by in the background.
Crumple Paper.wav,A piece of paper is crinkled and moved around multiple times.,Four times paper is crumpled into a ball,Paper is crumpled into a ball four times.,The crinkle of paper as if someone is wrapping something.,The crinkle of paper emanates as something is unwrapped
crumpling paper.wav,A cellophane bag is noisily crumpled as it is torn open.,A person crunching a potato chip bag and eating,A person holding and crinkling a bunch of paper.,A person is crinkling a bunch of paper.,someone tearing open and crumpling a cellophane bag
Crunching Snow Edited.wav,Leaves and branches crunch beneath the weight of another object.,Leaves and sticks crunch underneath footsteps on the trail.,Leaves and twigs are crunched under the weight of a heavier object.,"Shoes walking along a hard packed trail, covered with leaves and twigs.",someone is walking further and further away on a gravelled surface
cupboard-twang1.wav,A loose railing is being knocked upon for its reverb.,A pounding is performed on a surface that vibrates.,A small hammer being used against wooden material,"For its reverberation, a loose railing is being knocked.",The wood reverberates as it is hit by a stick.
Slider door.wav,"A person pulled the cord to lift the blinds, then open the window.","A sliding door screen is opened, then the glass sliding object is opened, then the glass sliding object is closed.","Moving through the plastic, and opening and shutting a drawer.",The wheel of the lawn mower squeaks as it cuts the grass.,"Three sets of doors are opened, including the glass, then the screen, then the glass again."
Deplacez-vous.wav,"A police siren, followed by a megaphone announcement, then short siren blasts.","An ambulance sound driving, stopping and starting again",A fire alarm going off and on with people talking,People are talking while an alarm goes off and on.,Sirens go off then a bit of talking followed by more sirens.
lets_go_to_see_it.wav,A car goes by as footsteps tread and fireworks burst.,Fireworks burst rapidly as footsteps fall and a car passes by.,Fireworks exploding in the distance while something crackles in the background.,"Large booms with small wet smacks, traffic passes in the distance","Nearby something crackles, as fireworks explode in the distance."
"Different birds, birds swimming, wind, footsteps.wav",A bird chirps as it gets closer and closer.,A bird is chipping very loud as it gets closer.,"In order to attract others, the birds were chirping, cawing, and calling out to other birds.",a bird screeching that goes in and out with other birds in the background,"Birds chirping, cawing, calling out to attract other birds."
Digging with shovel.wav,A shovel busily digs a hole in the ground or soil.,A boy is digging in some rocky ground.,Hitting rocks and breaking soil while shoveling into the ground.,Shoveling in the ground while hitting rocks and breaking soil.,shovel is being used to dig a hole in the ground
dish drumroll metal spoons.wav,As the silverware moves inside the glass container it makes clanking sounds.,"Inside a large glass pitcher, a tablespoon makes a clinking sound.",Silverware being banged and scraped against glass plates,Someone is clinging a piece of cutlery on a glass continuously.,Someone is clinging a piece of cutlery on a glass.
Dishwasher idling.wav,A buzzing and clicking in a small silent room.,A creaking hinge croaks as the object moves slowly.,A machine is performing some precise operation producing clip and winding noises repeatedly and regularly.,"A machine is performing some precise operation, producing clip and winding noises over and over.",Something in a small quiet room buzzes and clicks.
Distant Firework Barrage (Aerial cake).wav,A person sets off fireworks in the woods,Crickets chirp as fireworks explode in the distance,Fireworks are being set off in the woods.,Fireworks going off in the distance with crickets in the background.,a person fires a round from a pistol followed by rapid fire.
St. Marks NWR Boat-tailed Grackle.wav,A bird is chirping and then flapping his wings over and over,Birds are chirping and cackling in an enclosed area while a child whimpers.,Birds are chirping and then they go quiet and a dove coos and birds start chirping again.,"Birds are chirping then go quiet, then a dove coos as the birds start chirping again.",Birds chirping and cackling in an enclosed area and a child whimpering in the background.
Dog growling.wav,A dog is eating while growling at another approaching.,A dog is eating while at the same time snarling at another drawing nearer.,An animal chews and slurps as it eats.,An animal growling and licking in the foreground.,An animal growls and sniffs through its nose.
Dog walking on laminate.wav,A person quietly scrapes sticks against each other and intermittently blows at them to build friction and spark heat.,A person sniffs repeatedly while the sound of metal clicking speeds up.,A person sniffs repeatedly while a metal object is clicking speeds up.,Air blows onto objects as the objects rub against each other.,Someone blowing onto hard objects and the objects rubbing against each other.
Empty laundry.wav,A floor is being scrubbed as people talk in the background.,"A low, mechanical hum resonates in the background as a woman speaks briefly while sweeping the floor.","A low, mechanical hum resonates in the background as a woman sweeps the floor while conversing with someone else.",The vacuum cleaner runs as two woman talk in the background.,"in a large hall a machine working, female speaking"
Door creaking.wav,A door makes a high pitched sound as it is opened and closed a couple of times.,A door squeaks with a high pitch as it is opened.,An opening and closing cabinet door is creaking and squeaking.,A very squeaky cabinet door is being slowly opened and closed to maximize the creaking.,A wooden door very slowly opening and closing as it creaks.
Walking in Circles around fountain.wav,A person is walking near flowing water and sniffling while the wind blows.,Someone walking near the flowing water who is sniffling as the wind blows.,Water flows and wind blows as the person sniffles.,"Wind blows in the foreground, while water trickles in the background.",wind noises in the foreground with water noises in the background
door-knock-open-close-wooden_close.wav,A tapping on the door which then becomes louder followed by banging on the door.,"Door, knocking on hard surface with knuckles, then hitting hard surface with palm.",Knuckles rap on a door first gently then more violently.,Some tapping on the door then becomes louder followed by banging on the door.,"continuous tapping, knocking, pounding, hammering of objects into other objects"
Flat door action.wav,A door is pushed open on squeaky hinges and then pushed shut again.,Someone is opening and closing a squeaky door.,Someone repeatedly opens and closes a squeaky door.,Someone walks in and opens the wooden box before then leaving through a creaky door.,"a door being unlocked, unlatched, squeaking open and being closed again"
Downtown Cars drive by (wind).wav,A man briefly speaks into an audio device then a low static frequency resonates outward,A man is speaking close by and people are talking in the distance.,A man speaking close by and people talking in the distance.,A person whispers and then that individual sets down a cup.,A person whispers and then the person sets a cup down.
Drawers opening and closing.wav,A person slides a dresser drawer back and forth,An object being dragged across a hard surface in the foreground.,Plates of wood are pulled across a tabletop and then a small hammer is used to strike them.,Someone who is sweeping the floor with the back of a push broom.,The dresser is slid back and forth by the person.
Driving.wav,A loud noise from the distance accompanied by movement,A plane is taking off whilst the cabin pressure builds.,High winds blow as a vehicle engine roars,"Someone records traffic sounds, as they travel down the road.",The wind is blowing very hard and steady as a vehicle engine roars by.
drop.wav,A drop of water drips from the faucet into the pot.,A liquid substance is plopping down from a surface.,A liquid substance plops down from above to the ground below.,Oil dripping from the bottom of an engine onto the floor.,a lot of drops of water fall from a faucet and make a humming noise.
drops.wav,It is water dropping from a faucet or even a hose.,Loud dripping water which gets louder with door closing several rooms away,Loud dripping water which gradually gets louder with door closing several rooms away,Water drips from a faucet while a person moves from room to room in the background.,Water is dripping from a faucet while a person moves from room to room in the background.
washingmachine2.wav,An assembly line is running in an industrial factory.,"In a rhythm, a spinning machine is weaving.",Rain is falling heavily while a weird scraping occurs in the distance.,Someone is moving stuff around while riding on a train.,"While riding on a train, someone is moving stuff around."
PS3F_FOZ_centro_Mufato_anuncio_tarde.wav,People talk while metal trolleys move around in the background.,People talking indoors then someone sweeps the floor towards the end.,Several men are speaking loudly and a woman is speaking in the background.,Some people were engaged in a fight in a small room.,The people talking indoors are moving close when someone appears to sweep the floors at the end.
Eddy convsersacion metro flores.wav,A mechanical engine is running and someone is chatting.,A woman is interrupted by a speaker over the intercom as she is speaking.,"A woman is speaking, while in the background, a motor runs and a loudspeaker projects male and female voices.",A woman speaking and gets interrupted by a speaker over an intercom.,Woman speaking with a motor running in the background and a female and male voice over a loudspeaker.
elevator-2.wav,A metal garage door rattles while being pulled down and secured with a lock and chain.,A metal garage door rattling while being pull down and secured with a chain and lock.,Someone is unlocking and locking a metal gate loudly.,Someone is unlocking and locking a metal gate of some type.,Someone opening a door and then proceeding to close it
